,,,,MM/DD/YYYY,,Albion; Big RIver,Restoration; Context; Control; Trapping,deeps (bolts & 0-100) or shallows or NA for other sites,,,,,,,m^2,,,enter number,,,,,,Get this from the processor or landing etix sheet               units in kg,Weight of subsampled urchin in bucket          units in kg,Target = purple urchin; Red=red urchin; Bycatch= any bycatch from the subsample; Leftovers= unprocessed from subsample,"strongylocentrotus purpuratus; mesocentrotus franciscanus; For bycatch, list as detailed as you can, common name is ok, just try to be consistent",Always =1 for urchins; Could be different for bycatch,0=good   1=questionable   2=bad,"N for Noyo; C for Caspar, A for Albion, P for Portuguese then unique number for each urchin per restoraiton site",Unique number per day per bin,in grams,in mm,in mm,0=absent 1=present,0=absent 1=present,in grams,0=absent 1=present,Y/N,0=absent 1=present,0=absent 1=present,0=absent 1=present,0=absent 1=present,0=absent 1=present,0=absent 1=present,0=absent 1=present,0=absent 1=present,M/F/U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,10,39.71,47,24,0,0,0.62,1,N,NA,1,1,1,1,1,1,0,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,11,19.8,37.5,17,0,0,0.32,1,N,NA,1,1,1,1,1,0,1,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,12,29.16,43,23,0,0,0.72,1,N,NA,1,1,1,0,1,0,0,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,13,64.33,51,28,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,14,24.16,40.5,21,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,15,44.98,49,26,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,16,21.62,38,17,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,17,42.18,49,23,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,18,46.76,49.5,26,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,19,14.41,32.5,15,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,20,19.76,38,17.5,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,21,42.14,47.5,24.5,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,22,25.2,36,17,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,23,24.2,39,21,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,24,51.99,53.5,26,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,25,37.11,46,22,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,26,25.96,43,19.5,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,27,37.12,45,24,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,28,12.44,32.5,16,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,29,32.9,46,19,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,30,26.38,41.5,20,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,31,45.08,50.5,21,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,32,53.46,50,25.5,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,33,5.91,48,22,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,34,34.11,45,23,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,35,29.41,42,21,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,36,35.87,47,20,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,37,32.9,43,21.5,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,38,27.58,41.5,20,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,39,74.09,62,30,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,40,44.62,52,24,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,41,53.42,54.5,28.5,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,42,42.8,47,24.5,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,43,17.23,35.5,16,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,44,20.48,37,19.5,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,45,23.26,41,19,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,46,1.15,12,6,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,47,40.18,47,24,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,48,14.11,33.5,18,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,49,14.42,33,16,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,50,29.82,43,23.5,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,51,45.12,39,19,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,52,23.86,35,17,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,53,56.95,55.5,24.5,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,54,51.04,56,27,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,55,58.8,57,28,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,56,50.5,39,20,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,57,71,48,23.5,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,58,57.27,55,25.5,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,59,30.35,43,20,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,60,40.21,49.5,23,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,61,147.68,77,38,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,62,18.26,34,15,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,63,27.04,42,16,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,64,26.62,41,16,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,65,16.05,36,17,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,66,28.19,43,17.5,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,67,45.96,49,25,0,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,
